id,Instance_number,early_engagement,mid_engagement,late_engagement,mean_engagement,mean_workload,mean_divergence,alpha,beta,theta,engagement_volatility,Cluster
1,0,1.2845,1.0187,0.9772,1.0904,1.0219,0.0685,760.6355,803.2668,754.6919,0.2771,cluster0
2,1,0.9967,1.0579,1.0389,1.0272,1.0318,-0.0045,807.3757,819.3493,822.1272,0.2625,cluster0
3,2,1.0103,1.0437,1.0369,1.028,1.022,0.0059,815.5472,835.4198,830.5706,0.1159,cluster0
4,3,1.086,1.0461,1.0389,1.0857,1.0847,0.0011,757.7184,805.7997,802.9303,0.1482,cluster0
5,4,1.0376,1.04,1.0389,1.0386,1.0206,0.018,794.8975,813.1987,800.1409,0.1508,cluster0
6,5,1.0004,1.0016,0.9865,1.0009,1.0005,0.0004,801.5224,801.9991,801.8283,0.0464,cluster0
7,6,0.996,0.9858,0.9876,0.9908,0.9971,-0.0063,799.2525,791.5511,796.6136,0.0308,cluster0
8,7,1.0002,1.0054,1.0056,1.0038,1.0068,-0.003,801.3746,798.617,801.2695,0.1127,cluster0
9,8,0.9948,1.0044,1.0389,0.9989,1.0027,-0.0038,803.8382,802.2364,805.4575,0.0293,cluster0
10,9,1.0023,1.0031,1.0389,1.0024,1.0019,0.0005,799.743,801.4237,801.0179,0.0153,cluster0
11,10,1.0001,1.0037,1.0389,1.0018,0.9986,0.0033,805.2482,805.4257,803.3499,0.0429,cluster0
12,11,0.9969,0.998,1.0022,0.9991,1.0006,-0.0015,802.3039,801.5765,802.7743,0.0404,cluster0
13,12,0.9993,0.993,1.0389,0.9962,1.0005,-0.0043,805.5393,802.4368,805.8954,0.0364,cluster0
14,13,1.0044,1.0461,1.0389,1.0045,1.0017,0.0028,799.0848,802.4632,800.2989,0.023,cluster0
15,14,0.9933,0.9969,1.0389,0.995,1.0063,-0.0113,800.2572,795.4958,804.5137,0.0865,cluster0
16,15,1.0061,1.0112,0.9761,1.0084,1.0115,-0.0031,802.5613,804.6434,807.6564,0.0808,cluster0
17,16,1.0001,1.0017,1.0001,1.0009,0.9991,0.0018,807.1175,807.3502,805.9767,0.0284,cluster0
18,17,1.0796,1.0372,1.026,1.0514,1.0111,0.0403,795.3862,832.0495,800.7195,0.1637,cluster0
19,18,1.0485,1.3638,1.0389,1.1788,1.1663,0.0125,808.0949,942.2977,931.7067,0.1863,cluster1
20,19,1.0079,1.0089,1.0389,1.0081,0.9873,0.0208,816.9529,821.3682,802.3522,0.0463,cluster0
21,20,1.0065,1.0035,1.0389,1.0052,1.0029,0.0024,797.6674,801.6702,799.8065,0.019,cluster0
22,21,1.111,1.181,1.2143,1.1686,0.9982,0.1704,801.9332,933.6238,798.7796,0.1283,cluster2
23,22,1.0111,1.0017,1.0389,1.0065,0.9984,0.0081,800.4863,804.4488,798.6693,0.0485,cluster0
24,23,1.0187,1.008,0.9862,1.0111,1.0159,-0.0047,802.1498,809.6229,813.1502,0.0586,cluster0
25,24,0.9566,1.0461,1.0389,1.1409,1.1686,-0.0277,783.4261,806.6136,838.762,0.5059,cluster1
26,25,1.0275,1.013,1.0389,1.0207,1.0136,0.007,795.6204,804.3313,799.524,0.1153,cluster0
27,26,1.0299,1.0538,1.1491,1.0422,1.0541,-0.0119,786.4464,804.4242,814.7877,0.24,cluster2
28,27,1.0093,1.0026,1.0022,1.0058,0.9937,0.0121,800.7583,805.3561,795.6489,0.0207,cluster0
29,28,0.9999,0.9975,0.9963,0.9981,0.9972,0.0009,796.9214,795.3023,794.6091,0.0477,cluster0
30,29,1.1503,1.8234,1.0389,1.4183,1.3961,0.0221,704.4951,939.9501,930.6053,0.4153,cluster1
31,30,1.0007,0.9983,1.0389,1.0006,0.9958,0.0048,801.0117,801.4778,797.6002,0.0091,cluster0
32,31,1.0048,1.02,1.0389,1.0116,1.0115,0.0002,824.5466,835.6405,835.2759,0.0545,cluster0
33,32,1.0041,0.9951,1.0472,1.0153,1.0161,-0.0008,800.4275,810.3888,811.0128,0.0992,cluster0
34,33,1.0004,0.9976,1.0389,0.999,1.0064,-0.0074,803.476,801.5012,806.9813,0.0454,cluster0
35,34,1.0056,1.0059,1.2834,1.0289,1.0176,0.0113,799.9215,811.8877,805.3014,0.3023,cluster2
36,35,1.1076,1.0461,1.0389,1.1075,1.0646,0.0429,772.9569,856.0448,822.8672,0.0055,cluster0
37,36,0.9908,1.001,1.0389,0.9956,1.0018,-0.0062,798.6435,795.0151,799.5994,0.0209,cluster0
38,37,1.0129,1.0094,1.018,1.0112,1.0019,0.0093,802.5553,811.1239,804.2613,0.0398,cluster0
39,38,1.0034,1.0002,1.0073,1.002,0.9961,0.0059,798.4485,799.5266,794.6554,0.0388,cluster0
40,39,1.0307,1.0399,1.037,1.0364,0.9514,0.0849,779.1611,799.5558,737.922,0.1136,cluster0
41,40,1.0056,1.0019,1.0389,1.0041,0.9963,0.0078,796.2788,799.5267,793.3276,0.0078,cluster0
42,41,1.008,1.0229,1.0389,1.0148,1.0342,-0.0195,799.8986,808.3169,817.0004,0.1323,cluster0